icao24,callsign,latitude,longitude,altitude,velocity,timestamp
a6f23d,DAL499  ,41.7144,-89.9115,10675.62,257.6,2024-10-03 19:20:05
ac1afa,SWA462  ,39.7171,-103.4268,7010.4,224.47,2024-10-03 19:20:05
3c5ee7,EWG74F  ,51.7502,-0.624,11277.6,236.94,2024-10-03 19:20:05
aa30e9,CXK167  ,36.0977,-85.9671,2476.5,51.0,2024-10-03 19:20:05
a94b2e,UAL1119 ,39.2825,-104.6741,6621.78,231.26,2024-10-03 19:20:05
46b82a,AEE7PT  ,40.4757,10.7725,10363.2,218.53,2024-10-03 19:20:05
a34291,UPS5328 ,36.3399,-85.1073,10668.0,226.83,2024-10-03 19:20:05
46b82f,AEE665  ,44.019,14.1626,10668.0,216.6,2024-10-03 19:20:05
ae5ad5,SHINR29 ,30.4096,-97.4694,457.2,59.94,2024-10-03 19:20:05
a8a87e,UAL928  ,48.4576,-77.8438,11590.02,192.1,2024-10-03 19:20:05
3c5ef0,EWG16R  ,49.9687,3.0462,8282.94,206.23,2024-10-03 19:20:05
ac8fbd,N9083Z  ,42.7943,-76.4664,3055.62,73.63,2024-10-03 19:20:36
a23582,N241UK  ,33.371,-116.5889,3749.04,32.38,2024-10-03 19:20:36
4b1804,SWR28L  ,46.649,6.0894,5394.96,180.17,2024-10-03 19:20:36
4b1808,SWR2075 ,41.6599,-5.5098,10378.44,245.56,2024-10-03 19:20:36
4b1800,SWR181V ,39.3161,21.1491,11582.4,216.33,2024-10-03 19:20:36
aaef60,AAL311  ,42.6049,-94.2149,11574.78,210.65,2024-10-03 19:20:36
4952ca,TAP556  ,39.1886,-8.7081,4625.34,213.33,2024-10-03 19:20:36
4952cb,TAP574  ,46.0395,-1.6851,10972.8,215.28,2024-10-03 19:20:36
4952cd,TAP755  ,49.6823,3.358,11269.98,250.89,2024-10-03 19:20:36
a3a575,JBU1955 ,42.0227,-72.1556,7924.8,207.84,2024-10-03 19:20:36
ad3c16,AAL2124 ,37.7051,-122.4393,1402.08,133.51,2024-10-03 19:20:36
a5954e,UAL2673 ,40.7264,-88.6311,8488.68,216.62,2024-10-03 19:20:36
ace6b9,N930LX  ,30.6298,-92.4206,9448.8,173.74,2024-10-03 19:20:36
a1befc,UAL469  ,40.164,-96.3154,11582.4,232.87,2024-10-03 19:20:36
a97808,N709WY  ,31.6374,-86.6448,7627.62,139.72,2024-10-03 19:20:36
a808d7,ATN3308 ,38.9613,-84.85,2857.5,150.05,2024-10-03 19:20:36
4952c1,TAP534  ,48.8991,3.4887,10972.8,223.59,2024-10-03 19:20:36
4952c5,TAP74NA ,44.4126,-3.8689,10363.2,214.27,2024-10-03 19:20:36
4952c6,TAP783  ,58.3156,15.6063,10172.7,242.63,2024-10-03 19:20:36
ac83aa,N905VR  ,34.2635,-97.7984,13670.28,242.72,2024-10-03 19:20:36
4952c8,TAP86VC ,42.8854,4.9701,11879.58,229.05,2024-10-03 19:20:36
a2ded8,SWA3530 ,27.3416,-79.0459,7459.98,242.13,2024-10-03 19:20:36
39de41,TVF70WG ,44.6851,12.5835,11574.78,223.7,2024-10-03 19:20:36
3c6669,DLH43U  ,42.8594,-1.6175,10668.0,226.5,2024-10-03 19:20:36
3c6667,DLH05U  ,46.5478,-1.3928,10660.38,239.41,2024-10-03 19:20:36
44028c,EJU4588 ,38.6234,-8.8318,10980.42,220.22,2024-10-03 19:20:36
4acb01,NSZ3659 ,41.5782,3.3815,9022.08,228.44,2024-10-03 19:20:36
ad564b,N959CC  ,38.7004,-80.9202,13106.4,177.14,2024-10-03 19:20:36
a61815,N492FT  ,35.2343,-102.8965,13106.4,217.39,2024-10-03 19:20:36
51116f,MBU6513 ,41.3242,4.5015,11582.4,245.27,2024-10-03 19:20:36
4bc8c3,PGT740  ,38.9969,30.1287,9364.98,237.71,2024-10-03 19:20:36
40814c,GLMHA   ,42.659,-2.8937,13106.4,224.04,2024-10-03 19:20:36
abf008,SWA3650 ,39.4834,-92.562,10972.8,216.74,2024-10-03 19:20:36
511171,MBU6891 ,48.9786,16.8715,10972.8,229.86,2024-10-03 19:20:36
511170,MBU6003 ,48.5835,17.2678,10972.8,238.52,2024-10-03 19:20:36
a46e8c,DOW385  ,40.3676,-82.5748,5890.26,113.16,2024-10-03 19:20:36
3c6672,DLH3WY  ,44.3509,9.7346,10668.0,222.78,2024-10-03 19:20:36
a8e37c,DAL3115 ,29.5713,-83.7334,10058.4,252.24,2024-10-03 19:20:36
a1b2ee,JBU52   ,33.1137,-80.5022,11285.22,242.23,2024-10-03 19:20:36
ac101f,SWA1136 ,41.7101,-82.9294,11277.6,260.1,2024-10-03 19:20:36
a2d2da,N281MW  ,45.0469,-86.9649,11887.2,273.48,2024-10-03 19:20:36
ad90a3,AAL927  ,32.7299,-81.0205,9685.02,239.74,2024-10-03 19:20:36
471efc,WMT20QC ,40.5859,8.7947,10683.24,208.09,2024-10-03 19:20:36
a798ad,WMN589  ,31.0742,-87.1217,12496.8,248.69,2024-10-03 19:20:36
a4d84d,CTL105  ,43.4253,-89.8527,2720.34,91.61,2024-10-03 19:20:36
a88072,NKS1237 ,37.7799,-84.0478,10972.8,224.79,2024-10-03 19:20:36
a94b50,UAL378  ,41.8045,-88.7707,5539.74,193.3,2024-10-03 19:20:36
a88bde,NOAA65  ,31.0944,-82.9233,6705.6,126.12,2024-10-03 19:20:36
440248,EJU87TQ ,40.6958,-6.2485,11582.4,205.74,2024-10-03 19:20:36
4b1880,SWR8T   ,47.3801,-72.6398,11582.4,203.95,2024-10-03 19:20:36
4b1881,SWR14V  ,45.2985,-65.2534,12192.0,218.48,2024-10-03 19:20:36
a0f4a2,DAL289  ,45.5267,-66.9073,10972.8,220.39,2024-10-03 19:20:36
a6f23d,DAL499  ,41.7217,-89.8318,10675.62,257.54,2024-10-03 19:20:36
ac1afa,SWA462  ,39.711,-103.3521,7239.0,228.15,2024-10-03 19:20:36
3c5ee7,EWG74F  ,51.7273,-0.5365,11475.72,230.72,2024-10-03 19:20:36
aa30e9,CXK167  ,36.0953,-85.9508,2514.6,52.03,2024-10-03 19:20:36
a94b2e,UAL1119 ,39.2211,-104.6326,6728.46,240.7,2024-10-03 19:20:36
46b82a,AEE7PT  ,40.4913,10.6726,10363.2,218.33,2024-10-03 19:20:36
a34291,UPS5328 ,36.2717,-85.0594,10668.0,238.12,2024-10-03 19:20:36
46b82f,AEE665  ,43.9872,14.2362,10668.0,218.27,2024-10-03 19:20:36
ae5ad5,SHINR29 ,30.427,-97.4673,449.58,60.62,2024-10-03 19:20:36
a8a87e,UAL928  ,48.4262,-77.8928,11582.4,192.46,2024-10-03 19:20:36
3c5ef0,EWG16R  ,50.0225,3.0772,8511.54,208.51,2024-10-03 19:20:36
ac8fbd,N9083Z  ,42.7807,-76.4791,3147.06,73.92,2024-10-03 19:21:07
a23582,N241UK  ,33.3713,-116.5915,3863.34,30.63,2024-10-03 19:21:07
4b1804,SWR28L  ,46.6707,6.0237,5554.98,189.84,2024-10-03 19:21:07
4b1808,SWR2075 ,41.6825,-5.4263,10546.08,243.28,2024-10-03 19:21:07
4b1800,SWR181V ,39.3637,21.1068,11582.4,215.62,2024-10-03 19:21:07
aaef60,AAL311  ,42.6105,-94.2854,11582.4,210.2,2024-10-03 19:21:07
4952ca,TAP556  ,39.2267,-8.6517,4975.86,215.12,2024-10-03 19:21:07
4952cb,TAP574  ,46.0827,-1.6291,10972.8,214.52,2024-10-03 19:21:07
4952cd,TAP755  ,49.6229,3.2817,11269.98,251.68,2024-10-03 19:21:07
a3a575,JBU1955 ,42.0132,-72.2181,7924.8,207.33,2024-10-03 19:21:07
ad3c16,AAL2124 ,37.6692,-122.4541,1897.38,135.5,2024-10-03 19:21:07
a5954e,UAL2673 ,40.675,-88.6838,8633.46,219.91,2024-10-03 19:21:07
ace6b9,N930LX  ,30.6335,-92.3555,9448.8,173.22,2024-10-03 19:21:07
a1befc,UAL469  ,40.1411,-96.4219,11582.4,233.41,2024-10-03 19:21:07
a97808,N709WY  ,31.6108,-86.6032,7627.62,139.31,2024-10-03 19:21:07
a808d7,ATN3308 ,38.9271,-84.8174,3299.46,161.3,2024-10-03 19:21:07
4952c1,TAP534  ,48.9236,3.5769,10972.8,224.34,2024-10-03 19:21:07
4952c5,TAP74NA ,44.468,-3.8136,10363.2,215.29,2024-10-03 19:21:07
4952c6,TAP783  ,58.2719,15.5397,10256.52,243.36,2024-10-03 19:21:07
ac83aa,N905VR  ,34.2975,-97.8653,13517.88,247.58,2024-10-03 19:21:07
4952c8,TAP86VC ,42.8371,4.8804,11879.58,229.66,2024-10-03 19:21:07
a2ded8,SWA3530 ,27.4128,-79.0239,7749.54,241.56,2024-10-03 19:21:07
39de41,TVF70WG ,44.7094,12.5106,11574.78,223.7,2024-10-03 19:21:07
3c6669,DLH43U  ,42.8335,-1.6988,10668.0,226.97,2024-10-03 19:21:07
3c6667,DLH05U  ,46.4982,-1.4675,10660.38,239.77,2024-10-03 19:21:07
44028c,EJU4588 ,38.6703,-8.7836,10972.8,219.9,2024-10-03 19:21:07
4acb01,NSZ3659 ,41.6164,3.4589,9144.0,232.29,2024-10-03 19:21:07
ad564b,N959CC  ,38.6921,-81.0016,13106.4,177.01,2024-10-03 19:21:07
a61815,N492FT  ,35.2499,-102.8261,13106.4,217.39,2024-10-03 19:21:07
51116f,MBU6513 ,41.38,4.5707,11582.4,246.06,2024-10-03 19:21:07
4bc8c3,PGT740  ,38.9464,30.1409,9540.24,235.59,2024-10-03 19:21:07
40814c,GLMHA   ,42.7234,-2.8979,13106.4,224.56,2024-10-03 19:21:07
abf008,SWA3650 ,39.4767,-92.643,10972.8,217.3,2024-10-03 19:21:07
511171,MBU6891 ,49.0227,16.8178,10972.8,229.46,2024-10-03 19:21:07
511170,MBU6003 ,48.6375,17.2164,10972.8,237.28,2024-10-03 19:21:07
a46e8c,DOW385  ,40.3877,-82.6127,6057.9,110.88,2024-10-03 19:21:07
3c6672,DLH3WY  ,44.2944,9.7689,10675.62,222.99,2024-10-03 19:21:07
a8e37c,DAL3115 ,29.5059,-83.6913,10043.16,251.29,2024-10-03 19:21:07
a1b2ee,JBU52   ,33.158,-80.4364,11285.22,241.19,2024-10-03 19:21:07
ac101f,SWA1136 ,41.6996,-82.8256,11277.6,260.1,2024-10-03 19:21:07
a2d2da,N281MW  ,45.0245,-86.8524,11887.2,273.61,2024-10-03 19:21:07
ad90a3,AAL927  ,32.6618,-81.0199,9753.6,239.74,2024-10-03 19:21:07
471efc,WMT20QC ,40.5635,8.7101,10675.62,207.43,2024-10-03 19:21:07
a798ad,WMN589  ,31.0523,-87.037,12496.8,248.69,2024-10-03 19:21:07
a4d84d,CTL105  ,43.4175,-89.8211,2697.48,92.59,2024-10-03 19:21:07
a88072,NKS1237 ,37.7296,-84.0436,10980.42,224.28,2024-10-03 19:21:07
a94b50,UAL378  ,41.7903,-88.8527,5844.54,198.59,2024-10-03 19:21:07
a88bde,NOAA65  ,31.1224,-82.9294,6705.6,126.12,2024-10-03 19:21:07
440248,EJU87TQ ,40.7414,-6.2203,11582.4,206.43,2024-10-03 19:21:07
4b1880,SWR8T   ,47.3639,-72.7196,11582.4,203.46,2024-10-03 19:21:07
4b1881,SWR14V  ,45.2656,-65.3205,12192.0,218.77,2024-10-03 19:21:07
a0f4a2,DAL289  ,45.5267,-66.9073,10972.8,220.39,2024-10-03 19:21:07
a6f23d,DAL499  ,41.7318,-89.7197,10668.0,258.05,2024-10-03 19:21:07
